Brand,City,Country,Email,Hours,House_Number,ID,Latitude,Longitude,Name,Operator,Phone Number,Postal_Code,Province,Street,Wheelchair,geometry
TD Canada Trust,,,,,,42606794,43.6549658,-79.3878390,TD Canada Trust,,,,,,,POINT (-79.387839 43.6549658)
RBC,Toronto,,,,443,42606800,43.6546864,-79.3877875,RBC,,,,,University Avenue,,POINT (-79.3877875 43.6546864)
CIBC,,,,,,48553576,43.6782279,-79.3474071,CIBC,CIBC,,,,,,POINT (-79.3474071 43.6782279)
RBC,,,,,,48553584,43.6790726,-79.3451373,RBC,,,,,,yes,POINT (-79.3451373 43.6790726)
National Bank,,,,,,48553736,43.6786807,-79.3453936,National Bank,,,,,,,POINT (-79.34539359999999 43.6786807)
CIBC,Toronto,,,,205,53542662,43.6504736,-79.3875970,CIBC,CIBC,,,,Queen Street West,yes,POINT (-79.387597 43.6504736)
TD Canada Trust,,,,,,53542712,43.6516600,-79.3818522,TD Canada Trust,,,,,,,POINT (-79.3818522 43.65166)
TD Canada Trust,Toronto,,,Mo-We 08:00-18:00; Th-Fr 08:00-20:00; Sa 08:00-16:00; Su off,165,60930914,43.6746006,-79.3963035,TD Canada Trust,,,,,Avenue Road,yes,POINT (-79.3963035 43.6746006)
CIBC,Toronto,,,,532,62574880,43.6652895,-79.4110785,CIBC,CIBC,,,,Bloor Street West,yes,POINT (-79.4110785 43.6652895)
TD Canada Trust,Toronto,,,,574,62574888,43.6650491,-79.4120944,TD Canada Trust,TD Canada Trust,,,,Bloor Street West,no,POINT (-79.4120944 43.6650491)
BMO,,,,,,118422310,43.6553511,-79.3862549,BMO,Bank of Montreal,,,,,,POINT (-79.3862549 43.6553511)
BMO,Toronto,,,Mo-Fr 08:00-18:00; Sa-Su off,438,118422987,43.6546209,-79.3886431,BMO,Bank of Montreal,,,,University Avenue,,POINT (-79.3886431 43.6546209)
CIBC,Toronto,,,,460,118423294,43.6548789,-79.3888261,CIBC,CIBC,,,,University Avenue,,POINT (-79.3888261 43.6548789)
TD Canada Trust,,,,"Mo-We 09:00-18:00, Th-Fr 09:00-20:00, Sa 09:00-16:00",,158694452,43.6494869,-79.4206095,TD Canada Trust,,,,,,yes,POINT (-79.4206095 43.6494869)
CIBC,Toronto,,,"Mo-We 09:00-17:00, Th-Fr 09:00-19:00, Sa 09:00-16:00",235,158694453,43.6492225,-79.4205494,CIBC,,,,,Ossington Avenue,yes,POINT (-79.4205494 43.6492225)
TD Canada Trust,,,,Mo-We 08:00-18:00; Th-Fr 08:00-20:00; Sa 08:00-16:00; Su off,,158712943,43.6804829,-79.4323839,TD Canada Trust,,,,,,no,POINT (-79.4323839 43.6804829)
CIBC,,,,,,158713932,43.6826190,-79.4200684,CIBC,,,,,,,POINT (-79.42006840000001 43.682619)
CIBC,,,,,,207715089,43.6581003,-79.4004508,CIBC,CIBC,,,,,,POINT (-79.4004508 43.6581003)
