Brand,City,Country,Email,Hours,House_Number,ID,Latitude,Longitude,Name,Phone Number,Postal_Code,Province,Street,Website,Wheelchair,geometry
7-Eleven,,,,24/7,,60715216,43.6667511,-79.4040584,7-Eleven,,,,,https://www.7-eleven.com/,yes,POINT (-79.4040584 43.6667511)
,,,,,,60796403,43.6703952,-79.4134423,Olive Convenience,,,,,,,POINT (-79.4134423 43.6703952)
,,,,,,60930915,43.6747931,-79.3968700,Super Convenience,,,,,,,POINT (-79.39687000000001 43.6747931)
,,,,,,67344189,43.6699163,-79.4287477,Joe's Convenience,,,,,,limited,POINT (-79.4287477 43.6699163)
,,,,,151,67344925,43.6665134,-79.4194288,My 151 Convenience,,,,Barton Avenue,,,POINT (-79.41942880000001 43.6665134)
,,,,,,67344938,43.6675085,-79.4146202,Palmerston Convenience,,,,,,,POINT (-79.4146202 43.6675085)
,Toronto,,,Mo-Su 09:00-23:00,949,67972418,43.6613171,-79.4279504,Stop 'N Shop,,,,Bloor Street West,,,POINT (-79.4279504 43.6613171)
,Toronto,,,,983,67972439,43.6609732,-79.4294704,Bloor Mini Mart,,,,Bloor Street West,,,POINT (-79.4294704 43.6609732)
,,,,,,67972684,43.6672347,-79.4319263,Sun Shine Variety,,,,,,,POINT (-79.4319263 43.6672347)
,,,,,138,67972693,43.6673212,-79.4315622,77 Food Market,,,,Hallam Street,,,POINT (-79.4315622 43.6673212)
,Toronto,,,,782,67972738,43.6622892,-79.4298546,John's Variety,,,,Dovercourt Road,,,POINT (-79.4298546 43.6622892)
,,,,,,67972743,43.6630840,-79.4355109,Rosie Robin,,,,,,,POINT (-79.4355109 43.663084)
Circle K,,,,24/7,,118421690,43.6555741,-79.3850770,Circle K,,,,,http://www.macs.ca/,,POINT (-79.385077 43.6555741)
7-Eleven,Toronto,,,,260,152659340,43.6581229,-79.3997958,7-Eleven,,,,College Street,https://www.7-eleven.com/,no,POINT (-79.39979580000001 43.6581229)
,,,,24/7,,155912469,43.6497660,-79.4313066,Bros Convenience,,,,,,,POINT (-79.4313066 43.649766)
Hasty Market,York,,,,400,243421027,43.6868767,-79.4347601,Hasty Market,,,,Winona Drive,http://www.hastymarketcorp.com/,,POINT (-79.43476010000001 43.6868767)
,,,,,,243955857,43.6625604,-79.4039281,Harbord Convenience,,,,,,,POINT (-79.4039281 43.6625604)
,,,,,,244885891,43.6510420,-79.4110567,7-Eleven,,,,,https://www.7-eleven.com/,,POINT (-79.4110567 43.651042)
,,,,,,245020014,43.6477067,-79.4100045,Melo Grocery,,,,,,,POINT (-79.4100045 43.6477067)
7-Eleven,,,,,,245020018,43.6454799,-79.4108450,7-Eleven,,,,,https://www.7-eleven.com/,,POINT (-79.41084499999999 43.6454799)
Esso,Toronto,,,,381,251047415,43.6986546,-79.3861777,Esso,,M4S 2L5,,Mount Pleasant Road,https://www.esso.ca/,,POINT (-79.3861777 43.6986546)
,Toronto,,,,410,251246374,43.6515743,-79.4512437,White Corner Variety,+1-416-530-4583,M6R 2N2,,Roncesvalles Avenue,,yes,POINT (-79.45124370000001 43.6515743)
,Toronto,,,,1452,252170655,43.6572044,-79.4487946,3 Jit Variety,,,,Bloor Street West,,,POINT (-79.4487946 43.6572044)
,Toronto,,,,484,253718699,43.6533995,-79.4518574,Green Field,,,,Roncesvalles Avenue,,,POINT (-79.45185739999999 43.6533995)
,,,,,,260338326,43.6551267,-79.4590663,7-Eleven,,,,,https://www.7-eleven.com/,,POINT (-79.4590663 43.6551267)
Esso,,,,,,260990913,43.6975851,-79.3291251,Esso,,,,,https://www.esso.ca/,yes,POINT (-79.3291251 43.6975851)
Shell,,,,,,260990951,43.6974267,-79.3298547,Shell,,,,,,,POINT (-79.3298547 43.6974267)
,,,,,,262694862,43.6575765,-79.4030485,Starbank Convenience,,,,,,yes,POINT (-79.4030485 43.6575765)
,,,,,,262919586,43.6949632,-79.3035547,L.B. Supermarket,,,,,,,POINT (-79.30355470000001 43.6949632)
,,,,,,262919589,43.6935847,-79.3113831,Gledhill Convenience,,,,,,,POINT (-79.3113831 43.6935847)
,,,,,,263041964,43.6945074,-79.3084526,D&K Grocery,,,,,,,POINT (-79.3084526 43.6945074)
,,,,,,264823055,43.6910297,-79.3148890,Woodbine Convenience Store,,,,,,yes,POINT (-79.31488899999999 43.6910297)
Esso,,,,,,266579047,43.6910397,-79.2878587,Esso,,,,,https://www.esso.ca/,,POINT (-79.2878587 43.6910397)
,,,,,,267314406,43.6400166,-79.3791918,York Quay Fine Foods,,,,,,yes,POINT (-79.3791918 43.6400166)
,,,,,,267314750,43.6396928,-79.3830883,Jasvik At Your Convenience,,,,,,,POINT (-79.3830883 43.6396928)
,,,,,,269328754,43.6942585,-79.3166516,Terry's Milk,,,,,,,POINT (-79.3166516 43.6942585)
Petro-Canada,,,,,,269450988,43.6865034,-79.3081922,Petro-Canada,,,,,,,POINT (-79.30819219999999 43.6865034)
,,,,,,269539180,43.6942698,-79.3162393,Woodbine Mini Mart,,,,,,,POINT (-79.31623930000001 43.6942698)
Petro-Canada,Toronto,,,,115,270858365,43.6529039,-79.3724356,Petro-Canada,,,,Jarvis Street,,,POINT (-79.3724356 43.6529039)
,,,,24/7,,271628183,43.6838881,-79.2999791,S Market,,,,,,,POINT (-79.2999791 43.6838881)
,,,,,,271628211,43.6838119,-79.3014439,Your Convenience,,,,,,,POINT (-79.3014439 43.6838119)
7-Eleven,Toronto,,,24/7,372,273325240,43.6510367,-79.3813927,7-Eleven,+1-416-203-8350,M5H 2W9,,Bay Street,https://www.7-eleven.com/,,POINT (-79.38139270000001 43.6510367)
Esso,North York,,,,1840,276270556,43.7135510,-79.3781082,Esso,,,,Bayview Avenue,https://www.esso.ca/,yes,POINT (-79.3781082 43.713551)
,Toronto,,,,131,276758156,43.6916186,-79.3043752,Vic's Milk,,,,Chisholm Avenue,,,POINT (-79.3043752 43.6916186)
,East York,,,,70,276758807,43.6918296,-79.3032765,B & D Variety Store,,,,Doncaster Avenue,,,POINT (-79.3032765 43.6918296)
,,,,,,277040121,43.6893028,-79.3229811,Sammon Grocery,,,,,,,POINT (-79.32298110000001 43.6893028)
,,,,,,277045238,43.6886000,-79.3352181,Evan's Variety,,,,,,,POINT (-79.33521810000001 43.6886)
,,,,,,277045240,43.6876810,-79.3405072,Daisy Mart,,,,,,,POINT (-79.3405072 43.687681)
,,,,,,277045246,43.6835922,-79.3387937,Tedway Variety,,,,,,,POINT (-79.3387937 43.6835922)
,,,,,,277045285,43.6806508,-79.3375515,Donlands Variety,,,,,,,POINT (-79.3375515 43.6806508)
,,,,,,277140077,43.6892412,-79.3489544,William's Convenience & Food Mart,,,,,,,POINT (-79.3489544 43.6892412)
,,,,"Mo-Th 08:00-22:30; Fr,Sa 08:00-11:30; Su 08:00-10:30",,278030820,43.6934510,-79.2973575,Daisy Mart,,,,,,,POINT (-79.2973575 43.693451)
,,,,,,278030822,43.6925918,-79.2973192,Imag Convenience Store,,,,,,,POINT (-79.2973192 43.6925918)
,,,,,,278102972,43.6915291,-79.3000521,,,,,,,,POINT (-79.3000521 43.6915291)
,East York,,,,2775,278862314,43.7065455,-79.3068988,Plymouth Variety,,,,St Clair Avenue East,,,POINT (-79.3068988 43.7065455)
,,,,,,279217361,43.6861976,-79.3384156,True M & A Variety,,,,,,,POINT (-79.3384156 43.6861976)
,,,,,,279217371,43.6869797,-79.3348821,Sammon Convenience,,,,,,,POINT (-79.3348821 43.6869797)
,,,,,,279677538,43.7014971,-79.2967276,Convenience Plus,,,,,,,POINT (-79.2967276 43.7014971)
,,,,,,280367112,43.7072647,-79.3027146,JAE Smoke & Convenience,,,,,,,POINT (-79.3027146 43.7072647)
,Toronto,,,,568,280493840,43.6648032,-79.3846560,Ultra Convenience,,,,Yonge Street,,,POINT (-79.38465600000001 43.6648032)
,,,,,,280901803,43.6790343,-79.3098387,Len's Milk Corner,,,,,,,POINT (-79.3098387 43.6790343)
Circle K,,,,24/7,,281359935,43.7085890,-79.3900236,Circle K,,,,,http://www.macs.ca/,,POINT (-79.39002360000001 43.708589)
,Toronto,,,,224,281361302,43.6676734,-79.3724521,Sunny Green Vegetable And Fruit Limited,,,,Wellesley Street East,,,POINT (-79.3724521 43.6676734)
,,,,,,281361604,43.6634680,-79.3723778,J & S Convenience,,,,,,,POINT (-79.3723778 43.663468)
,Toronto,,,,166,281361608,43.6631579,-79.3737412,,,,,Carlton Street,,no,POINT (-79.3737412 43.6631579)
,,,,,,281361737,43.6602206,-79.3771856,Mac's,,,,,http://www.macs.ca/,,POINT (-79.3771856 43.6602206)
,,,,24/7,,281361815,43.6565356,-79.3762969,Dundas Market,,,,,,,POINT (-79.3762969 43.6565356)
,,,,,,281361826,43.6565965,-79.3773321,International News Plus,,,,,,,POINT (-79.3773321 43.6565965)
,,,,,,281663042,43.6520813,-79.3776566,Friends Convenience & Grocery,,,,,,,POINT (-79.37765659999999 43.6520813)
,Toronto,,,,36,281665683,43.6491001,-79.3742090,Total Convenience Food Market,,,,Church Street,,,POINT (-79.37420899999999 43.6491001)
,,,,,,281667487,43.6480574,-79.3734721,Richie Neighbourhood Store,,,,,,,POINT (-79.3734721 43.6480574)
,,,,,,281669102,43.6503927,-79.3772472,Victoria Variety & Gift,,,,,,,POINT (-79.3772472 43.6503927)
,,,,,23,281669981,43.6574658,-79.3828019,Elm Basket Food & Variety,,,,Elm Street,,,POINT (-79.3828019 43.6574658)
,,,,24/7,,281913067,43.6785507,-79.3585735,Sak's Fine Foods,,,,,,,POINT (-79.35857350000001 43.6785507)
,,,,,,281913070,43.6782036,-79.3582257,Paul's Milk,,,,,,,POINT (-79.35822570000001 43.6782036)
,Toronto,,,,592,281916195,43.6680278,-79.3696273,Jamestown Milk,+1-416-923-4354,M4X 1P8,,Parliament Street,,yes,POINT (-79.3696273 43.6680278)
,,,,,,281923894,43.6627506,-79.3639249,Regent Park Supermarket Convenience Store,,,,,,,POINT (-79.3639249 43.6627506)
,,,,,,281923895,43.6626890,-79.3642642,Anne Grocery,,,,,,,POINT (-79.36426419999999 43.662689)
,,,,,,288057758,43.7029142,-79.4169680,Family Food Fair Convenience,,,,,,,POINT (-79.416968 43.7029142)
,,,,,,288057966,43.7035781,-79.4140904,Crosstown Convenience,,,,,,,POINT (-79.41409040000001 43.7035781)
,,,,,,288060580,43.7060043,-79.4026147,Market Convenience,,,,,,,POINT (-79.4026147 43.7060043)
Daisy Mart,,,,Mo-Su 08:30-22:00,,292779921,43.6565225,-79.3674588,Daisy Mart,,,,,,,POINT (-79.36745879999999 43.6565225)
,,,,,,292780204,43.6574447,-79.3620701,B.A. Grocery & Variety,,,,,,,POINT (-79.3620701 43.6574447)
,,,,,,295314899,43.6682130,-79.3817949,Church Bella Variety,,,,,,,POINT (-79.3817949 43.668213)
,,,,,,295326044,43.6861645,-79.3759220,Scoops Convenience Boutique on Summerhill,,,,,,,POINT (-79.375922 43.6861645)
,,,,,,302419257,43.7987625,-79.3688427,Kitchen Food Fair,,,,,,,POINT (-79.3688427 43.7987625)
,,,,,,305024784,43.6625828,-79.4049411,Harbord Variety,,,,,,,POINT (-79.4049411 43.6625828)
,Toronto,,,,651,305024937,43.6635684,-79.4019330,Convenience.com,,,,Spadina Avenue,,,POINT (-79.401933 43.6635684)
,,,,,,307781373,43.7153993,-79.4906724,Super Discount Variety,,,,,,,POINT (-79.49067239999999 43.7153993)
Circle K,,,,,,315662869,43.6713810,-79.2943325,Circle K,,,,,http://www.macs.ca/,,POINT (-79.2943325 43.671381)
,,,,,,315670719,43.6803383,-79.2911414,Youliton Best Convenience,,,,,,yes,POINT (-79.2911414 43.6803383)
7-Eleven,Toronto,,,,1,317054745,43.7067887,-79.3976190,7-Eleven,,M4P 3A1,,Eglinton Avenue East,https://www.7-eleven.com/,,POINT (-79.39761900000001 43.7067887)
,Toronto,,,,535,339423490,43.6653143,-79.4096593,Annex Mart,,,,Bloor Street West,,,POINT (-79.4096593 43.6653143)
,,,,,,339554212,43.6770910,-79.3893984,Paris Grocery,,,,,,,POINT (-79.3893984 43.677091)
,,,,,,343286383,43.7265059,-79.3126779,Sloane Convenience,,,,,,,POINT (-79.3126779 43.7265059)
,Toronto,,,,272,344478507,43.6583945,-79.3720065,Your Pantry,+1-416-962-7896,M5A 1Z9,,Dundas Street East,,,POINT (-79.3720065 43.6583945)
,,,,,,344545236,43.6638616,-79.3799309,Maple Leaf Convenience Mart,,,,,,,POINT (-79.37993090000001 43.6638616)
,,,,24/7,705,354968802,43.6587091,-79.3499468,Starbank Convenience Mart,,,,Queen Street East,,,POINT (-79.3499468 43.6587091)
,,,,,,355045745,43.6614410,-79.4095377,Stop 'N Go,,,,,,,POINT (-79.4095377 43.661441)
,,,,,,356494799,43.7983294,-79.1387326,Mister Convenience,,,,,,,POINT (-79.1387326 43.7983294)
,,,,,,357142890,43.7982634,-79.1393409,New Pickering Petroleum Gas Bar & Convenience,,,,,,,POINT (-79.13934089999999 43.7982634)
,,,,,,357938381,43.7900647,-79.1404028,Becker's,,,,,,,POINT (-79.1404028 43.7900647)
Esso,,,,,,360997920,43.7346188,-79.6173128,Esso,,,,,,,POINT (-79.61731279999999 43.7346188)
,York,,,,261,364937091,43.6774379,-79.5059549,Royal Variety,,,,Scarlett Road,,,POINT (-79.50595490000001 43.6774379)
,,,,,,364943605,43.6944023,-79.5187498,Scarlett Convenience,,,,,,,POINT (-79.51874979999999 43.6944023)
,,,,,,366654676,43.7982287,-79.3686400,Superior Dollar,,,,,,,POINT (-79.36864 43.7982287)
,,,,,,366654738,43.7993121,-79.3696214,On The Run,,,,,,,POINT (-79.3696214 43.7993121)
,,,,,,366654786,43.7930682,-79.3544739,On The Run,,,,,,,POINT (-79.3544739 43.7930682)
,York,,,,2189-2191,368127384,43.7035378,-79.5260927,Park's Supermarket,,,,Weston Road,,,POINT (-79.52609270000001 43.7035378)
,,,,,224,368385378,43.6453229,-79.3895732,International News,,,,Wellington Street West,,,POINT (-79.3895732 43.6453229)
Petro-Canada,,,,,,370202085,43.7436678,-79.6066513,Petro-Canada,,,,,,,POINT (-79.6066513 43.7436678)
Shell,,,,,,370202086,43.7437888,-79.6080503,Shell,,,,,,,POINT (-79.6080503 43.7437888)
