Alt_Name,Brand,City,Country,Dispensing,Email,Fax,Hours,House_Number,ID,Latitude,Longitude,Name,Payment_Cash,Payment_Credit_Card,Payment_Debit_Card,Phone Number,Postal_Code,Province,Street,Website,Wheelchair,geometry
,,,,yes,,,Mo-Th 09:00-19:00; Fr 09:00-18:00; Sa 10:00-16:00,,48553517,43.6770068,-79.3555010,City Pharmacy,,,,,,,,,yes,POINT (-79.355501 43.6770068)
,I.D.A.,,,yes,,,,,48553523,43.6766261,-79.3556620,I.D.A.,,,,,,,,,yes,POINT (-79.355662 43.6766261)
,Shoppers Drug Mart,,,yes,,,,,54965530,43.6532056,-79.4061206,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.40612059999999 43.6532056)
,Pharmasave,,,yes,,,,,64684425,43.6653263,-79.4033563,Pharmasave,,,,,,,,,,POINT (-79.4033563 43.6653263)
,,,,yes,,,,,67344661,43.6627953,-79.4213624,Omni Pharmacy,,,,,,,,,,POINT (-79.42136240000001 43.6627953)
,,,,yes,,,,,67972544,43.6601026,-79.4351328,Main Drug Mart,,,,,,,,,,POINT (-79.43513280000001 43.6601026)
,,,,yes,,,,,67972701,43.6670968,-79.4314746,Sone's Pharmacy,,,,+1-416-531-2575,,,,,,POINT (-79.4314746 43.6670968)
Nart Drugs Inc.,Shoppers Drug Mart,Toronto,,yes,,,Mo-Fr 09:00-21:00; Sa 11:00-17:00; Su 12:00-17:00,523,158713935,43.6827775,-79.4192985,Shoppers Drug Mart,,,,+1-416-538-1155,M6C 1C0,,St. Clair Avenue West,,yes,POINT (-79.4192985 43.6827775)
,Shoppers Drug Mart,Toronto,,yes,,,Mo-Sa 08:00-00:00; Su 10:00-00:00,360A,238726675,43.6665844,-79.4051229,Shoppers Drug Mart,,,,+1-416-961-2121,M5S 1X1,,Bloor Street West,http://www.shoppersdrugmart.ca/,yes,POINT (-79.40512289999999 43.6665844)
,Pharmasave,,,,,,,,241263057,43.6860563,-79.3934061,Pharmasave,,,,,,,,,,POINT (-79.39340610000001 43.6860563)
,Shoppers Drug Mart,Toronto,,yes,,,,463,244883634,43.6561267,-79.4085109,Shoppers Drug Mart,,,,+1-416-923-0755,M6G 4C1,,College Street,http://www.shoppersdrugmart.ca/,yes,POINT (-79.4085109 43.6561267)
,,,,yes,,,,,244885863,43.6523206,-79.4064887,Trinity Drug Store,,,,,,,,,,POINT (-79.4064887 43.6523206)
,Guardian,Toronto,,yes,,,,757,244885864,43.6520569,-79.4063905,Guardian,,,,,M6J 1T9,,Dundas Street West,,,POINT (-79.4063905 43.6520569)
,,Toronto,,yes,,,,811,245022512,43.6516321,-79.4085317,Hilary's Pharmacy,,,,+1-416-603-1059,M6J 1V4,,Dundas Street West,https://hilaryspharmacy.com/,yes,POINT (-79.4085317 43.6516321)
,,,,yes,,,,,245022521,43.6574797,-79.4035676,Medical Pharmacy,,,,,,,,,,POINT (-79.4035676 43.6574797)
,Rexall,,,yes,,,-00:00,,246694319,43.6607258,-79.3854466,Rexall,,,,,,,,,yes,POINT (-79.38544659999999 43.6607258)
,Shoppers Drug Mart,,,yes,,,,524,249296393,43.6477106,-79.4021933,Shoppers Drug Mart,,,,,,,Queen Street West,http://www.shoppersdrugmart.ca/,yes,POINT (-79.40219329999999 43.6477106)
,Shoppers Drug Mart,Toronto,,yes,,,Mo-Su 08:00-24:00,388,249298764,43.6461194,-79.3925144,Shoppers Drug Mart,,,,+1-416-597-6550,M5V 1K2,,King Street West,http://www.shoppersdrugmart.ca/,,POINT (-79.3925144 43.6461194)
,,Toronto,,yes,,,Mo-Fr 08:30-19:00; Sa 10:00-18:00; Su closed,284,250942267,43.6675916,-79.4002121,Snowdon Pharmacy (Guardian),,,,,,,Bloor Street West,,yes,POINT (-79.4002121 43.6675916)
