Brand,City,Country,Email,Fax,Hours,House_Number,Latitude,Longitude,Name,Payment_Cash,Payment_Credit_Card,Payment_Debit_Card,Phone Number,Postal_Code,Province,Street,Website,Wheelchair
Foodland,,,,,,,43.6786172,-79.3457523,Foodland,,,,+1-416-466-5371,,,,,
,,,,,24/7,,43.6750140,-79.4069106,Food Plus Market,,,,,,,,,
Sobeys,,,,,,,43.6709162,-79.4275199,Sobeys,,,,,,,,,yes
,Toronto,,,,,351,43.6669087,-79.4010556,Galleria The Kitchen Express,,,,,,,Bloor Street West,,yes
Sobeys,Toronto,,,,24/7,81,43.6884988,-79.3907706,Sobeys Urban Fresh,,,,+1-416-413-0594,,,St. Clair Avenue East,,
,,,,,24/7,,43.6755767,-79.4028204,The Food Depot,,,,,,,,,
Metro,,,,,24/7,,43.6582160,-79.3768916,Metro,,,,,,,,,yes
,,,,,,,43.6547520,-79.4019695,Freshmart,,,,,,,,,
Metro,,,,,24/7,,43.6897382,-79.2886122,Metro,,,,+1-416-686-8585,,,,,yes
FreshCo,Scarborough,,,,,2490,43.6877825,-79.2848579,FreshCo,,,,+1-416-698-3353,,,Gerrard Street East,,
,Toronto,,,,24/7,717,43.6586568,-79.3846663,Fine Food Market,,,,,,,Bay Street,,no
Sobeys,Toronto,,,,Mo-Sa 08:00-23:00; Su 09:00-23:00,207,43.6394101,-79.3805122,Sobeys Urban Fresh,,,,+1-416-603-1212,,,Queens Quay West,,yes
,Toronto,,,,24/7,252,43.6392311,-79.3853778,Rabba Fine Foods,,,,+1-416-260-8869,,,Queens Quay West,,
No Frills,Scarborough,,,,,1800,43.7266499,-79.2997516,No Frills,,,,,,,Eglinton Avenue East,,
Metro,Toronto,,,,24/7,80,43.6490236,-79.3731597,Metro,,,,,M5E 1T4,,Front Street East,,yes
Food Basics,,,,,,,43.6906434,-79.3495059,Food Basics,,,,,,,,,yes
Sobeys,Toronto,,,,24/7,1015,43.6848669,-79.3561899,Sobeys,,,,+1-416-421-5906,,,Broadview Avenue,,yes
Food Basics,,,,,,,43.6680319,-79.3720609,Food Basics,,,,,,,,,
,Toronto,,,,,140,43.6629585,-79.3749660,Little Bee Supermarket,,,,,,,Carlton Street,,no
,,,,,Mo-Su 08:00-24:00,,43.6602649,-79.3759927,Jarvis Market,,,,,,,,,
,Toronto,,,,Mo-Fr 09:00-21:00; Sa 09:00-20:00; Su 10:00-18:00,348,43.6776890,-79.3530730,The Big Carrot,,,,+1-416-466-2129,,,Danforth Avenue,,yes
,,,,,,,43.7980131,-79.3687435,Galati Bros. Supermarket,,,,,,,,,
,,,,,,,43.7908402,-79.3667359,Sunny Supermarket,,,,,,,,,
No Frills,,,,,Mo-We 08:00-21:00; Th-Fr 08:00-21:30; Sa-Su 08:00-20:00,,43.7944656,-79.3544452,No Frills,,,,,,,,,
,,,,,,,43.7544858,-79.3568496,Longo's,,,,,,,,,
,Toronto,,,,,3030,43.7854727,-79.3519255,Tone Tai Supermarket,,,,+1-416-756-1668,M2Z 3C1,,Don Mills Road East,http://www.foodymart.com,
Metro,North York,,,,,291,43.7473505,-79.3855761,Metro,,,,,,,York Mills Road,,
Loblaws,,,,,,,43.6551536,-79.4495878,Loblaws,,,,,,,,,
,Toronto,,,,,55,43.6687519,-79.3879316,Bloor Street Market,,,,+1-416-923-8831,,,Bloor Street West,http://www.bloorstreetmarket.ca/,
Bulk Barn,Toronto,,,,Mo-Sa 08:00-21:00; Su 10:00-19:00,503,43.6655691,-79.4082588,Bulk Barn,,,,+1-416-927-7964,M5S 1Y2,,Bloor Street West,http://www.bulkbarn.ca/en-ca/locations/on/bulk-food-toronto-25.html,yes
Foodland,,,,,,,43.6705745,-79.2981684,Foodland,,,,,,,,,
Metro,North York,,,,Mo-Su 00:00+,600,43.7560351,-79.4399163,Metro,,,,+1-416-636-5136,,,Sheppard Avenue West,,
Metro,,,,,,,43.7885898,-79.1396049,Metro,,,,,,,,,
Metro,,,,,24/7,,43.7708926,-79.2822142,Metro,,,,,,,,,
,,,,,,,43.6449069,-79.3916381,Foodlane,,,,,,,,,
Metro,,,,,,,43.6608863,-79.3832231,Metro,,,,,,,,,
Bulk Barn,Toronto,,,,,2,43.6615267,-79.3825865,Bulk Barn,,,,+1-416-597-0330,,,Carlton Street,,yes
No Frills,,,,,Mo-Su 08:00-22:00,449,43.6684636,-79.3424151,No Frills,,,,+1-866-987-6453,M4K 3H9,,Carlaw Avenue,,yes
,,,,,,,43.6971399,-79.3294384,Wayne's Supermarket,,,,,,,,,
,Toronto,,,,24/7,175,43.6502166,-79.3679879,Rabba Fine Foods,,,,,,,Front Street East,,yes
No Frills,,,,,,,43.7691082,-79.1868613,No Frills,,,,,,,,,
FreshCo,Scarborough,,,,Mo-Fr 08:00-22:00; Sa-Su 08:00-21:00; PH off,2650,43.7527128,-79.2635392,FreshCo,,yes,yes,,,,Lawrence Avenue East,,
,Etobicoke,,,,Mo-Su 08:00-22:00,1701,43.7330145,-79.5890847,Bestco Food Mart,yes,yes,yes,,M9V 4N4,,Martin Grove Road,,
,,,,,,,43.7530728,-79.2440143,Country Farms Market,,,,,,,,,
Loblaws,Toronto,,,,08:00-23:00,2877,43.7687732,-79.3872517,Loblaws,,,,+1-416-733-1783,,,Bayview Avenue,http://www.loblaws.ca/,
,Toronto,,,,,676,43.6640904,-79.4166176,Bloor Meat & Grocery,,,,+1-416-536-0052,,,Bloor Street West,,
,,,,,,,43.6642503,-79.4158890,Bloor Fruit Market,,,,,,,,,no
,Toronto,,,,,580,43.6650133,-79.4122672,Super Fresh Village Market,,,,,,,Bloor Street West,,yes
,Scarborough,,,,,3331,43.7776124,-79.3080225,Food Depot Supermarket,,,,+1-416-756-1880,,,Sheppard Avenue East,,
Metro,,,,,24/7,,43.7339225,-79.3434239,Metro,,,,,,,,,
Loblaws,Toronto,,,,,5095,43.7683582,-79.4122218,Loblaws,,,,+1-416-512-9430,M2N 6Z4,,Yonge Street,,yes
,,,,,,,43.7879940,-79.3805574,L-Mart Oriental Food Market,,,,,,,,,
H Mart,Toronto,,,,,703,43.6692366,-79.3861865,H Mart,yes,,,+1-647-340-3500,M4Y 2B2,,Yonge Street,,
Metro,Toronto,,,,,2300,43.7070475,-79.3994337,Metro,,,,+1-416-483-7340,M4P 1E4,,Yonge Street,,yes
,,,,,,,43.6568803,-79.3647320,Kullubi Food & Spice,,,,,,,,,
,,,,,,,43.6456608,-79.3946849,Fresh & Wild Food Market,,,,,,,,,
No Frills,,,,,,,43.7198074,-79.5097950,No Frills,,,,,,,,,
,,,,,,,43.7485292,-79.5617812,Centra Food Market,,,,,,,,,
,,,,,,,43.6654205,-79.3518979,Galaxy,,,,,,,,,
Metro,,,,,,,43.7083728,-79.4769011,Metro,,,,,,,,,
Metro,,,,,24/7,,43.7197448,-79.4308024,Metro,,,,,,,,,limited
,,,,,,,43.6826172,-79.3276940,Jerry's Supermarket,,,,,,,,,
Valu-mart,,,,,,,43.7461366,-79.3245982,Valu-mart,,,,,,,,,
,Toronto,,,,24/7,40,43.6720009,-79.3848558,Rabba Fine Foods,,,,+1-416-967-5326,,,Asquith Avenue,,
No Frills,,,,,,,43.7093804,-79.2481500,No Frills,,,,,,,,,yes
Foodland,Etobicoke,,,,,1500,43.6629193,-79.5319660,Foodland,,,,,M9A 3L8,,Islington Avenue,,
,Scarborough,,,,,470,43.7082737,-79.2680234,Sun Valley Foods,,,,,M1K 1C6,,Danforth Road,,limited
,Scarborough,,,,,5661,43.8317951,-79.2648720,Field Fresh Supermarket,,,,,M1V 5P6,,Steeles Avenue East,,
Food Basics,,,,,,,43.7841944,-79.2034768,Food Basics,,,,,,,,,
,North York,,,,,38,43.7363998,-79.3452638,McEwan,,,,+1-416-444-6262,,,Karl Fraser Road,,yes
Valu-mart,,,,,,,43.7465518,-79.2008768,Valu-mart,,,,,,,,,
,Toronto,,,,,111,43.6553480,-79.3849589,Longo's,,,,,M5G 1P7,,Elizabeth Street,,
,,,,,,,43.6807442,-79.4514642,,,,,,,,,,
,,,,,,,43.6565962,-79.3819202,Kitchen Table,,,,,,,,,
,,,,,,,43.6475938,-79.4308233,H. N. Grocery,,,,,,,,,
,Toronto,,,,,705,43.6434096,-79.4040401,Kitchen Table,,,,+1-416-703-0636,M5V 2W8,,King Street West,thekitchentable.ca,
,Toronto,,,,,225,43.6459549,-79.4487512,Maple Produce,,,,,,,Roncesvalles Avenue,,
Sobeys,Toronto,,,,,197,43.6452125,-79.4484512,Sobeys Express,,,,,,,Roncesvalles Avenue,,yes
,Toronto,,,,,147,43.6436128,-79.4478177,Roncesvalles Fruit Village,,,,,,,Roncesvalles Avenue,,
,Toronto,,,,,143,43.6435068,-79.4477843,Ko Fruit Market,,,,+1-416-588-9587,,,Roncesvalles Avenue,,
